id,category,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,コンクリート,普通ポルトランドセメントの凝結時間に関する記述で最も適切なものはどれか。,始発凝結時間は45分以上とする,終結凝結時間は8時間以内とする,始発凝結時間は60分以内とする,終結凝結時間は12時間以内とする,C,JIS R 5210では普通ポルトランドセメントの始発凝結時間は60分以内・終結凝結時間は10時間以内と規定されています。,JIS R 5210,基本
2,コンクリート,コンクリートの設計基準強度に関する記述で正しいものはどれか。,材齢28日における圧縮強度の特性値,材齢7日における圧縮強度の平均値,材齢28日における圧縮強度の平均値,材齢91日における圧縮強度の特性値,A,設計基準強度は材齢28日における圧縮強度の特性値（5%不合格値）として定義されます。,土木学会コンクリート標準示方書,基本
3,コンクリート,寒中コンクリートの施工において最も重要な管理項目はどれか。,セメント量の増加,水セメント比の低減,コンクリート温度の管理,骨材の乾燥状態,C,寒中コンクリートでは打設時の温度管理が最重要です。5℃以下では水和反応が著しく遅くなります。,寒中コンクリート施工指針,応用
4,土質,土の液性限界の測定に使用する試験方法として正しいものはどれか。,カサグランデ皿を用いる落下回数法,一軸圧縮試験による方法,三軸圧縮試験による方法,標準貫入試験による方法,A,液性限界はカサグランデ皿を用いて25回の落下で溝が閉じる含水比として求めます。,JIS A 1205,基本
5,土質,N値と土の相対密度の関係で正しいものはどれか。,N=0-4で相対密度は非常に緩い,N=4-10で相対密度は緩い,N=10-30で相対密度は中程度,上記すべて正しい,D,標準貫入試験のN値による砂質土の相対密度判定基準として分類されます。,JGS基準,基本
6,土質,軟弱地盤の改良工法として適用範囲が最も深いものはどれか。,表層安定処理工法,固結工法（深層混合処理）,サンドコンパクションパイル工法,プレロード工法,B,深層混合処理工法は改良深度が最も深く30m程度まで適用可能です。,軟弱地盤対策工法,応用
7,河川,河川砂防技術基準における計画高水流量の設定に関して正しいものはどれか。,30年確率の洪水流量を基準とする,50年確率の洪水流量を基準とする,100年確率の洪水流量を基準とする,200年確率の洪水流量を基準とする,C,河川砂防技術基準では一般的に100年確率の洪水流量を基準として計画高水流量を設定します。,河川砂防技術基準,標準
8,河川,河川の流量観測における浮子法の適用条件として正しいものはどれか。,流速が毎秒2m以上の場合,水深が2m以上の場合,流れが比較的緩やかで安定している場合,河床勾配が1/100以上の場合,C,浮子法は流れが比較的緩やかで安定した条件で適用されます。,河川砂防技術基準,基本
9,河川,河川堤防の安全性照査における浸透安全性の評価方法はどれか。,円弧すべり解析による安全率,浸透流解析による動水勾配,地震時の液状化判定,洪水時の越流量計算,B,河川堤防の浸透安全性は浸透流解析により動水勾配を求め安全性を評価します。,河川堤防設計指針,応用
10,道路,道路構造令における設計速度と最小曲線半径の関係で正しいものはどれか。,設計速度60km/hで最小曲線半径100m,設計速度80km/hで最小曲線半径200m,設計速度100km/hで最小曲線半径350m,上記すべて正しい,D,道路構造令における最小曲線半径は設計速度に応じて決定されます。,道路構造令,基本
11,道路,アスファルト舗装の設計における交通量区分N7の意味はどれか。,大型車交通量が7台/日,設計期間中の累積大型車交通量が10^7台,設計CBRが7%,舗装厚が7cm,B,舗装設計における交通量区分N7は設計期間中の方向別累積大型車交通量が10^7台を表します。,舗装設計便覧,標準
12,道路,道路の幾何構造における緩和曲線の目的として正しいものはどれか。,車両の横転防止,遠心力の緩和,運転者の操作負担軽減,上記すべて,D,緩和曲線は直線から円曲線への移行部に設置し遠心力の急激な変化を防ぎます。,道路構造令,応用
13,測量,GNSS測量における主な誤差要因でないものはどれか。,電離層遅延,対流圏遅延,マルチパス,風速の影響,D,GNSS測量の主な誤差要因は電離層・対流圏による電波遅延等です。風速は基本的に影響しません。,測量法,基本
