ID,Category,Question,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,Explanation
1,土質及び基礎,土質及び基礎のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
2,道路,道路部門のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
3,河川、砂防及び海岸・海洋,河川砂防のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,C,テスト用の解説
4,基礎科目,基礎科目のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,D,テスト用の解説
5,都市計画及び地方計画,都市計画のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
6,造園,造園部門のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
7,建設環境,建設環境のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,C,テスト用の解説
8,鋼構造及びコンクリート,鋼構造のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,D,テスト用の解説
9,施工計画・施工設備及び積算,施工計画のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,A,テスト用の解説
10,上水道及び工業用水道,上水道のテスト問題,選択肢A,選択肢B,選択肢C,選択肢D,B,テスト用の解説
11,土質及び基礎,地盤の支持力に関する問題,N値が10の砂質土,N値が5の粘性土,N値が30の砂礫層,N値が20の硬質粘土,C,地盤支持力はN値と土質により決まります。砂礫層のN値30が最も高い支持力を示します。
12,土質及び基礎,基礎の種類について正しいものはどれか,直接基礎は深い支持層に適する,杭基礎は浅い支持層に適する,ベタ基礎は軟弱地盤に適する,独立基礎は大規模建築に適する,C,ベタ基礎は建物全体の荷重を面で支えるため、軟弱地盤に適しています。
13,土質及び基礎,土の圧密に関する記述で誤りはどれか,圧密は主に粘性土で発生する,圧密により地盤沈下が生じる,圧密は瞬時に完了する,圧密により土の密度が増加する,C,圧密は時間をかけて進行する現象で、瞬時には完了しません。
